date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_ASHP_transformer_input1,01_ASHP_transformer_input2,01_ASHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-02-14 03:00:00,0.15386665,3.787147,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,5.3231814,5.3231814,0.0,0.0,0.1538666507539276,5.323181361724355,0.0,0.0,3.787147,3.4084323,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 04:00:00,0.15634386,4.7318474,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,6.1734117,6.1734117,0.0,0.0,0.15634385988058136,6.173411718110884,0.0,0.0,4.7318474,4.2586627,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 05:00:00,0.18714915,6.74447,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.984772,7.984772,0.0,0.0,0.18714915402009788,7.984772042586534,0.0,0.0,6.74447,6.070023,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 06:00:00,0.35995447,9.1678319,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,10.165798,10.165798,0.0,0.0,0.3599544680971524,10.165797739404152,0.0,0.0,9.1678319,8.2510487,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 07:00:00,0.51713738,8.3463533,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,9.426467,9.426467,0.0,0.0,0.5171373826819229,9.426466994720213,0.0,0.0,8.3463533,7.511718,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 08:00:00,0.45881996,8.0999097,0.0,0.44350833,0.074579106,0.074579106,0.0,0.0,1.2449119,0.0,0.0,9.2046678,9.2046678,0.0,0.0,0.5333990619488272,9.204667771315032,0.0,0.0,8.0999097,7.2899187,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.074579106,0.0,0.0,0.0
2012-02-14 09:00:00,0.21187028,7.7918552,0.0,0.44350833,0.28045506,0.28045506,0.0,0.0,1.2449119,0.0,0.0,8.9274187,8.9274187,0.0,0.0,0.4923253364294718,8.927418742058556,0.0,0.0,7.7918552,7.0126697,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.28045506,0.0,0.0,0.0
2012-02-14 10:00:00,0.061504353,7.4317168,0.0,0.44350833,0.40451607,0.40451607,0.0,0.0,1.2449119,0.0,0.0,8.6032942,8.6032942,0.028392262,0.028392262,0.4643168913039192,8.631686444184979,0.0,0.0,7.4317168,6.6885452,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.40451607,0.0017035357,0.029886591,0.028392262
2012-02-14 11:00:00,0.0066816778,6.8005717,0.0,0.44350833,0.47856217,0.47856217,0.0,0.0,1.2449119,0.0,0.0,8.0352635,8.0352635,0.20827428,0.20827428,0.47274739333172466,8.243537803225912,0.0,0.0,6.8005717,6.1205145,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.47856217,0.012496457,0.21923608,0.20827428
2012-02-14 12:00:00,0.0,6.3207562,0.0,0.24205975,0.75434372,0.75434372,0.0,0.0,1.2449119,0.20144858,0.20144858,7.6034297,7.6034297,0.51072527,0.51072527,0.5222516208788854,8.114154922906222,0.0,0.0,6.3207562,5.6886806,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.75434372,0.030643516,0.53760555,0.51072527
2012-02-14 13:00:00,0.0,6.378498,0.0,0.37098231,0.61414156,0.61414156,0.0,0.0,1.2449119,0.072526016,0.072526016,7.6553972,7.6553972,0.40330788,0.40330788,0.5174170675833193,8.058705117054927,0.0,0.0,6.378498,5.7406482,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.61414156,0.024198473,0.42453461,0.40330788
2012-02-14 14:00:00,0.0,7.0175434,0.0,0.41988668,0.48860939,0.48860939,0.0,0.0,1.2449119,0.023621653,0.023621653,8.230538,8.230538,0.068449561,0.068449561,0.460880762515335,8.298987609077207,0.0,0.0,7.0175434,6.315789,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.48860939,0.0041069737,0.07205217,0.068449561
2012-02-14 15:00:00,0.042021367,7.2578941,0.0,0.44350833,0.37678679,0.37678679,0.0,0.0,1.2449119,0.0,0.0,8.4468538,8.4468538,0.0,0.0,0.4188081623481354,8.446853758013996,0.0,0.0,7.2578941,6.5321047,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.37678679,0.0,0.0,0.0
2012-02-14 16:00:00,0.42036641,7.7713183,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.9089355,8.9089355,0.0,0.0,0.4203664067987724,8.908935473441456,0.0,0.0,7.7713183,6.9941864,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 17:00:00,0.5141008,7.915077,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,9.0383184,9.0383184,0.0,0.0,0.5141008037524765,9.038318353761145,0.0,0.0,7.915077,7.1235693,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 18:00:00,0.66401191,7.9766879,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,9.0937682,9.0937682,0.0,0.0,0.6640119109009408,9.09376815961244,0.0,0.0,7.9766879,7.1790191,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 19:00:00,0.74747788,7.8123922,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.945902,8.945902,0.0,0.0,0.747477876474806,8.945902010675653,0.0,0.0,7.8123922,7.031153,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 20:00:00,0.67220268,7.4221899,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.5947199,8.5947199,0.0,0.0,0.6722026830132636,8.594719906950782,0.0,0.0,7.4221899,6.6799709,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 21:00:00,0.56324544,6.3542677,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.6335899,7.6335899,0.0,0.0,0.5632454364264132,7.633589938861664,0.0,0.0,6.3542677,5.7188409,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 22:00:00,0.46615482,4.382719,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,5.8591962,5.8591962,0.0,0.0,0.4661548206559526,5.859196151620211,0.0,0.0,4.382719,3.9444471,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14 23:00:00,0.34517112,3.4380186,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,5.0089658,5.0089658,0.0,0.0,0.3451711233090575,5.0089657952336815,0.0,0.0,3.4380186,3.0942168,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 00:00:00,0.23297752,2.087064,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.7931066,3.7931066,0.0,0.0,0.23297752286319187,3.793106592824716,0.0,0.0,2.087064,1.8783576,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 01:00:00,0.17240576,2.1970091,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.8920572,3.8920572,0.0,0.0,0.1724057642179168,3.8920571995940563,0.0,0.0,2.1970091,1.9773082,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 02:00:00,0.15802197,2.3069542,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.9910078,3.9910078,0.0,0.0,0.15802196928895967,3.9910078063633967,0.0,0.0,2.3069542,2.0762588,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 03:00:00,0.15386665,2.6551137,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.3043514,4.3043514,0.0,0.0,0.1538666507539276,4.304351394466308,0.0,0.0,2.6551137,2.3896024,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 04:00:00,0.15634386,3.6079714,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,5.1619233,5.1619233,0.0,0.0,0.15634385988058136,5.161923319800591,0.0,0.0,3.6079714,3.2471743,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 05:00:00,0.18714915,6.118385,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.4212955,7.4212955,0.0,0.0,0.18714915402009788,7.42129550770053,0.0,0.0,6.118385,5.5065465,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 06:00:00,0.35995447,8.4272325,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,9.4992582,9.4992582,0.0,0.0,0.3599544680971524,9.499258249856679,0.0,0.0,8.4272325,7.5845092,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 07:00:00,0.51713738,7.7309134,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.8725711,8.8725711,0.0,0.0,0.5171373826819229,8.872571073650857,0.0,0.0,7.7309134,6.957822,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 08:00:00,0.064024396,7.1912815,0.0,0.44350833,0.47179813,0.47179813,0.0,0.0,1.2449119,0.0,0.0,8.3869024,8.3869024,0.040390991,0.040390991,0.5333990619488272,8.427293343188826,0.0,0.0,7.1912815,6.4721533,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.47179813,0.0024234595,0.042516833,0.040390991
2012-02-15 09:00:00,0.0,5.8200394,0.0,0.0,1.2534899,1.2534899,0.0,0.0,1.2449119,0.44350833,0.44350833,7.4335763,7.4335763,0.61440634,0.61440634,0.4923253364294718,8.047982683906353,0.28079182,0.28079182,5.8200394,5.2380355,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,1.2534899,0.03686438,0.64674351,0.61440634
2012-02-15 10:00:00,0.0,5.7703503,0.0,0.13059497,0.81086672,0.81086672,0.0,0.0,1.2449119,0.31291336,0.31291336,7.1080643,7.1080643,0.56060776,0.56060776,0.4643168913039192,7.6686720246238815,0.0,0.0,5.7703503,5.1933152,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.81086672,0.033636466,0.59011343,0.56060776
2012-02-15 11:00:00,0.0,4.2054894,0.0,0.0,1.8516303,1.8516303,0.0,0.0,1.2449119,0.44350833,0.44350833,6.5869843,6.5869843,0.80132765,0.80132765,0.47274739333172466,7.388311972110751,0.88729487,0.88729487,4.2054894,3.7849404,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,1.8516303,0.048079659,0.84350279,0.80132765
2012-02-15 12:00:00,0.0,5.0847795,0.0,0.0,1.0594083,1.0594083,0.0,0.0,1.2449119,0.44350833,0.44350833,6.5428785,6.5428785,0.69700758,0.69700758,0.5222516208788854,7.2398860619567404,0.051827872,0.051827872,5.0847795,4.5763016,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,1.0594083,0.041820455,0.73369218,0.69700758
2012-02-15 13:00:00,0.0,5.3243165,0.0,0.28539027,0.70654075,0.70654075,0.0,0.0,1.2449119,0.15811806,0.15811806,6.7066339,6.7066339,0.51676039,0.51676039,0.5174170675833193,7.223394294161849,0.0,0.0,5.3243165,4.7918849,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.70654075,0.031005623,0.54395831,0.51676039
2012-02-15 14:00:00,0.090972682,6.0450882,0.0,0.44350833,0.36990808,0.36990808,0.0,0.0,1.2449119,0.0,0.0,7.3553284,7.3553284,0.0,0.0,0.460880762515335,7.355328436520971,0.0,0.0,6.0450882,5.4405794,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.36990808,0.0,0.0,0.0
2012-02-15 15:00:00,0.23747755,6.2833027,0.0,0.44350833,0.18133061,0.18133061,0.0,0.0,1.2449119,0.0,0.0,7.5697214,7.5697214,0.0,0.0,0.4188081623481354,7.569721417854542,0.0,0.0,6.2833027,5.6549724,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.18133061,0.0,0.0,0.0
2012-02-15 16:00:00,0.42036641,6.7047589,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.9490321,7.9490321,0.0,0.0,0.4203664067987724,7.949032077137013,0.0,0.0,6.7047589,6.034283,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 17:00:00,0.5141008,7.0529185,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.2623757,8.2623757,0.0,0.0,0.5141008037524765,8.262375665239924,0.0,0.0,7.0529185,6.3476266,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 18:00:00,0.66401191,7.1445394,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.3448345,8.3448345,0.0,0.0,0.6640119109009408,8.344834504214374,0.0,0.0,7.1445394,6.4300855,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 19:00:00,0.74747788,7.1262152,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,8.3283427,8.3283427,0.0,0.0,0.747477876474806,8.328342736419485,0.0,0.0,7.1262152,6.4135937,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 20:00:00,0.67220268,6.7414073,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.9820156,7.9820156,0.0,0.0,0.6722026830132636,7.982015612726793,0.0,0.0,6.7414073,6.0672666,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 21:00:00,0.56324544,5.7335771,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,7.0749684,7.0749684,0.0,0.0,0.5632454364264132,7.074968384007839,0.0,0.0,5.7335771,5.1602194,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 22:00:00,0.46615482,3.4980263,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,5.0629727,5.0629727,0.0,0.0,0.4661548206559526,5.062972713031251,0.0,0.0,3.4980263,3.1482237,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15 23:00:00,0.34517112,2.3619268,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.0404831,4.0404831,0.0,0.0,0.3451711233090575,4.040483109748067,0.0,0.0,2.3619268,2.1257341,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16 00:00:00,0.23297752,1.8423394,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.5728545,3.5728545,0.0,0.0,0.23297752286319187,3.5728544621982468,0.0,0.0,1.8423394,1.6581054,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16 01:00:00,0.17240576,1.9459004,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.6660594,3.6660594,0.0,0.0,0.1724057642179168,3.666059361212114,0.0,0.0,1.9459004,1.7513103,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16 02:00:00,0.15802197,2.0494614,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.7592643,3.7592643,0.0,0.0,0.15802196928895967,3.7592642602259816,0.0,0.0,2.0494614,1.8445152,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16 03:00:00,0.15386665,2.3774045,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.0544131,4.0544131,0.0,0.0,0.1538666507539276,4.054413107103228,0.0,0.0,2.3774045,2.1396641,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
