date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-02 08:00:00,0.53339906,5.034016,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.5306144,4.5306144,0.0,0.0,0.5333990619488272,4.5306144101998305,5.034016,4.5306144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.36867362,4.6423753,0.0,0.12365172,0.12365172,0.0,0.0,1.2119243,-0.0,0.0,4.1781378,4.1781378,0.0,0.0,0.4923253364294718,4.178137767281058,4.6423753,4.1781378,0.0,0.0,0.0,0.12365172,0.0,0.0,0.0
2012-01-02 10:00:00,0.21336749,4.3080479,0.0,0.2509494,0.2509494,0.0,0.0,1.2119243,-0.0,0.0,3.8772431,3.8772431,0.0,0.0,0.4643168913039192,3.877243072106496,4.3080479,3.8772431,0.0,0.0,0.0,0.2509494,0.0,0.0,0.0
2012-01-02 11:00:00,0.0,2.8676953,0.0,0.672679,0.672679,0.0,0.0,1.2119243,0.17947553,0.17947553,3.3557717,3.3557717,0.34093457,0.34093457,0.47274739333172466,3.6967062550017586,2.8676953,2.5809258,0.59537035,0.17947553,0.77484588,0.672679,0.020456074,0.3588785,0.34093457
2012-01-02 12:00:00,0.0,2.2995399,0.0,0.80978519,0.80978519,0.0,0.0,1.2119243,0.26047345,0.26047345,3.1941223,3.1941223,0.45100198,0.45100198,0.5222516208788854,3.6451243072575483,2.2995399,2.0695859,0.864063,0.26047345,1.1245364,0.80978519,0.027060119,0.47473893,0.45100198
2012-01-02 13:00:00,0.085451383,3.9810874,0.0,0.43466278,0.43466278,0.0,0.0,1.2119243,-0.0,0.0,3.5829787,3.5829787,0.04495165,0.04495165,0.5174170675833193,3.6279303246761447,3.9810874,3.5829787,0.0,0.0,0.0,0.43466278,0.002697099,0.047317527,0.04495165
2012-01-02 14:00:00,0.0,3.7910901,0.0,0.5347961,0.5347961,0.0,0.0,1.2119243,0.07391534,0.07391534,3.7310942,3.7310942,0.0,0.0,0.460880762515335,3.731094220164566,3.7910901,3.4119811,0.24519778,0.07391534,0.31911312,0.5347961,0.0,0.0,0.0
2012-01-02 15:00:00,0.41880816,4.3271523,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,3.8944371,3.8944371,0.0,0.0,0.4188081623481354,3.8944370546879,4.3271523,3.8944371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.42036641,4.5755098,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.1179588,4.1179588,0.0,0.0,0.4203664067987724,4.117958828246145,4.5755098,4.1179588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.5141008,4.8716284,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.3844656,4.3844656,0.0,0.0,0.5141008037524765,4.3844655582579,4.8716284,4.3844656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
