product name,value to be included in the spreadsheet
American Solar Wholesale ASW-270P,American_Solar_Wholesale_ASW_270P
American Solar Wholesale ASW-275M,American_Solar_Wholesale_ASW_275M
American Solar Wholesale ASW-280M,American_Solar_Wholesale_ASW_280M
American Solar Wholesale ASW-280P,American_Solar_Wholesale_ASW_280P
American Solar Wholesale ASW-285M,American_Solar_Wholesale_ASW_285M
American Solar Wholesale ASW-285P,American_Solar_Wholesale_ASW_285P
American Solar Wholesale ASW-290M,American_Solar_Wholesale_ASW_290M
American Solar Wholesale ASW-290P,American_Solar_Wholesale_ASW_290P
American Solar Wholesale ASW-295M,American_Solar_Wholesale_ASW_295M
American Solar Wholesale ASW-295P,American_Solar_Wholesale_ASW_295P
American Solar Wholesale ASW-300M,American_Solar_Wholesale_ASW_300M
American Solar Wholesale ASW-300P,American_Solar_Wholesale_ASW_300P
American Solar Wholesale ASW-305P,American_Solar_Wholesale_ASW_305P
American Solar Wholesale ASW-310P,American_Solar_Wholesale_ASW_310P
American Solar Wholesale ASW-315P,American_Solar_Wholesale_ASW_315P
American Value SM240-5M,American_Value_SM240_5M
American Value SM245-5M,American_Value_SM245_5M
American Value SM250-5M,American_Value_SM250_5M
American Value SM255-5M,American_Value_SM255_5M
American Value SM260-5M,American_Value_SM260_5M
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M36-165W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M36_165W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M-170W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M_170W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M36-170W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M36_170W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M24-170W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M24_170W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6P24-170W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6P24_170W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M-175W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M_175W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M36-175W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M36_175W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M24-175W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M24_175W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6P24-175W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6P24_175W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M-180W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M_180W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M36-180W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M36_180W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M24-180W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M24_180W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6P24-180W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6P24_180W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M-185W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M_185W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M36-185W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M36_185W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M24-185W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M24_185W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6P24-185W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6P24_185W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-5M-190W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_5M_190W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M24-190W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M24_190W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6P24-190W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6P24_190W
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd AS-6M27-215W,Amerisolar_Worldwide_Energy_and_Manufacturing_USA_Co___Ltd_AS_6M27_215W
