product name,value to be included in the spreadsheet
Misubishi PV-MF115UE4N [2008 (E)],Misubishi_PV_MF115UE4N__2008__E__
Misubishi PV-MF120UE4N [2008 (E)],Misubishi_PV_MF120UE4N__2008__E__
Misubishi PV-MF125UE4N [2008 (E)],Misubishi_PV_MF125UE4N__2008__E__
Misubishi PV-MF130UE4N [2008 (E)],Misubishi_PV_MF130UE4N__2008__E__
Misubishi PV-UE115MF5N [2008 (E)],Misubishi_PV_UE115MF5N__2008__E__
Misubishi PV-UE120MF5N [2008 (E)],Misubishi_PV_UE120MF5N__2008__E__
Misubishi PV-UE125MF5N [2008 (E)],Misubishi_PV_UE125MF5N__2008__E__
Misubishi PV-UE130MF5N [2008 (E)],Misubishi_PV_UE130MF5N__2008__E__
Mitsubishi PV-MF165EB3 [ 2003],Mitsubishi_PV_MF165EB3___2003_
Mitsubishi PV-MF165EB3 [2003 (E)],Mitsubishi_PV_MF165EB3__2003__E__
Mitsubishi PV-MF170EB4 [2006 (E)],Mitsubishi_PV_MF170EB4__2006__E__
Mitsubishi PV-MF170UD4 [2006 (E)],Mitsubishi_PV_MF170UD4__2006__E__
Mitsubishi PV-MF175UD4 [2006 (E)],Mitsubishi_PV_MF175UD4__2006__E__
Mitsubishi PV-MF180UD4 [2006 (E)],Mitsubishi_PV_MF180UD4__2006__E__
Mitsubishi PV-MF185UD4 [2006 (E)],Mitsubishi_PV_MF185UD4__2006__E__
Mitsubishi PV-UD175MF5 [2008 (E)],Mitsubishi_PV_UD175MF5__2008__E__
Mitsubishi PV-UD180MF5 [2008 (E)],Mitsubishi_PV_UD180MF5__2008__E__
Mitsubishi PV-UD185MF5 [2008 (E)],Mitsubishi_PV_UD185MF5__2008__E__
Mitsubishi PV-UD190MF5 [2008 (E)],Mitsubishi_PV_UD190MF5__2008__E__
Moser Baer MBPV 220 Module [ 2010],Moser_Baer_MBPV_220_Module___2010_
Moser Baer MBPV 220 Module [2010 (E)],Moser_Baer_MBPV_220_Module__2010__E__
Photowatt PW100 [2003 (E)],Photowatt_PW100__2003__E__
Photowatt PW1000 (100W-12V) [2001 (E)],Photowatt_PW1000__100W_12V___2001__E__
Photowatt PW1000 (100W-24V) [2001 (E)],Photowatt_PW1000__100W_24V___2001__E__
Photowatt PW1000 (105W-12V) [2001 (E)],Photowatt_PW1000__105W_12V___2001__E__
Photowatt PW1000 (105W-24V) [2001 (E)],Photowatt_PW1000__105W_24V___2001__E__
Photowatt PW1000 (24V) [ 2000],Photowatt_PW1000__24V____2000_
Photowatt PW1000 (90W-12V) [2001 (E)],Photowatt_PW1000__90W_12V___2001__E__
Photowatt PW1000 (90W-24V) [2001 (E)],Photowatt_PW1000__90W_24V___2001__E__
Photowatt PW1000 (95W-12V) [2001 (E)],Photowatt_PW1000__95W_12V___2001__E__
Photowatt PW1000 (95W-24V) [2001 (E)],Photowatt_PW1000__95W_24V___2001__E__
Photowatt PW1000-12V [2003 (E)],Photowatt_PW1000_12V__2003__E__
Photowatt PW1000-24V [2003 (E)],Photowatt_PW1000_24V__2003__E__
Photowatt PW1250 [2003 (E)],Photowatt_PW1250__2003__E__
Photowatt PW1650-12 [2003 (E)],Photowatt_PW1650_12__2003__E__
Photowatt PW1650-24 [2003 (E)],Photowatt_PW1650_24__2003__E__
Photowatt PW200-12V [2003 (E)],Photowatt_PW200_12V__2003__E__
Photowatt PW500-12V [2003 (E)],Photowatt_PW500_12V__2003__E__
Photowatt PW6-110 [2003 (E)],Photowatt_PW6_110__2003__E__
Photowatt PW6-123 [2003 (E)],Photowatt_PW6_123__2003__E__
Photowatt PW6-230-12V [2003 (E)],Photowatt_PW6_230_12V__2003__E__
Photowatt PW6-230-24 [2003 (E)],Photowatt_PW6_230_24__2003__E__
Photowatt PW750 [2003 (E)],Photowatt_PW750__2003__E__
Photowatt PW850-12V [2003 (E)],Photowatt_PW850_12V__2003__E__
Photowatt PWX100 [2000 (E)],Photowatt_PWX100__2000__E__
Photowatt PWX200 [2000 (E)],Photowatt_PWX200__2000__E__
Photowatt PWX500 [ 1998],Photowatt_PWX500___1998_
Photowatt PWX500 (42W) [2000 (E)],Photowatt_PWX500__42W___2000__E__
Photowatt PWX500 (47W) [2000 (E)],Photowatt_PWX500__47W___2000__E__
Photowatt PWX500 (52W) [2000 (E)],Photowatt_PWX500__52W___2000__E__
Photowatt PWX750 (70W) [2000 (E)],Photowatt_PWX750__70W___2000__E__
Photowatt PWX750 (75W) [2000 (E)],Photowatt_PWX750__75W___2000__E__
Photowatt PWX750 (80W) [2000 (E)],Photowatt_PWX750__80W___2000__E__
PowerLight PL-210-QM-I [2008 (E)],PowerLight_PL_210_QM_I__2008__E__
PowerLight PL-225-QM-I [2008 (E)],PowerLight_PL_225_QM_I__2008__E__
Sanyo H168 [ 2005],Sanyo_H168___2005_
Sanyo HIP-180BA3 [2006 (E)],Sanyo_HIP_180BA3__2006__E__
Sanyo HIP-180DA3 Bifacial [2007 (E)],Sanyo_HIP_180DA3_Bifacial__2007__E__
Sanyo HIP-186BA3 [2006 (E)],Sanyo_HIP_186BA3__2006__E__
Sanyo HIP-186DA1 Bifacial [2006 (E)],Sanyo_HIP_186DA1_Bifacial__2006__E__
Sanyo HIP-186DA3 Bifacial [2007 (E)],Sanyo_HIP_186DA3_Bifacial__2007__E__
Sanyo HIP-190BA2 [ 2003],Sanyo_HIP_190BA2___2003_
Sanyo HIP-190BA2 [2004 (E)],Sanyo_HIP_190BA2__2004__E__
Sanyo HIP-190BA3 [2006 (E)],Sanyo_HIP_190BA3__2006__E__
Sanyo HIP-190BE11 [2006 (E)],Sanyo_HIP_190BE11__2006__E__
Sanyo HIP-190DA1 Bifacial [2006 (E)],Sanyo_HIP_190DA1_Bifacial__2006__E__
Sanyo HIP-190DA3 Bifacial [2007 (E)],Sanyo_HIP_190DA3_Bifacial__2007__E__
Sanyo HIP-195BA3 [2006 (E)],Sanyo_HIP_195BA3__2006__E__
Sanyo HIP-195BE11 [2006 (E)],Sanyo_HIP_195BE11__2006__E__
Sanyo HIP-195DA3 Bifacial [2007 (E)],Sanyo_HIP_195DA3_Bifacial__2007__E__
Sanyo HIP-200BA19 [ 2009],Sanyo_HIP_200BA19___2009_
Sanyo HIP-200BA3 [2006 (E)],Sanyo_HIP_200BA3__2006__E__
Sanyo HIP-200BE11 [2006 (E)],Sanyo_HIP_200BE11__2006__E__
Sanyo HIP-200DA3 Bifacial [2007 (E)],Sanyo_HIP_200DA3_Bifacial__2007__E__
Sanyo HIP-205BA3 [2006 (E)],Sanyo_HIP_205BA3__2006__E__
Sanyo HIP-205NKHE1 [2008 (E)],Sanyo_HIP_205NKHE1__2008__E__
Sanyo HIP-210NKHE1 [2008 (E)],Sanyo_HIP_210NKHE1__2008__E__
Sanyo HIP-215HDE1 [2008 (E)],Sanyo_HIP_215HDE1__2008__E__
Sanyo HIP-215NKHE1 [2008 (E)],Sanyo_HIP_215NKHE1__2008__E__
Sanyo HIP-220HDE1 [2008 (E)],Sanyo_HIP_220HDE1__2008__E__
Sanyo HIP-225HDE1 [2008 (E)],Sanyo_HIP_225HDE1__2008__E__
Sanyo HIP-2717 [2004 (E)],Sanyo_HIP_2717__2004__E__
Sanyo HIP-55172 [2003 (E)],Sanyo_HIP_55172__2003__E__
Sanyo HIP-6219 [2003 (E)],Sanyo_HIP_6219__2003__E__
Sanyo HIP-63S1 [2004 (E)],Sanyo_HIP_63S1__2004__E__
Sanyo HIP-6751B [ 2001],Sanyo_HIP_6751B___2001_
Sanyo HIP-6751B [2002 (E)],Sanyo_HIP_6751B__2002__E__
Sanyo HIP-Bifacial Prototype [ 2005],Sanyo_HIP_Bifacial_Prototype___2005_
Sanyo HIP-H552BA2 [ 2004],Sanyo_HIP_H552BA2___2004_
Sanyo HIP-HO97 [ 2002],Sanyo_HIP_HO97___2002_
Sanyo HIP-HO97 [2002 (E)],Sanyo_HIP_HO97__2002__E__
Sanyo HIP-J54BA2 [2004 (E)],Sanyo_HIP_J54BA2__2004__E__
Schott Solar ASE-100-ATF-17 (100) [1999 (E)],Schott_Solar_ASE_100_ATF_17__100___1999__E__
Schott Solar ASE-100-ATF-17 (85) [1999 (E)],Schott_Solar_ASE_100_ATF_17__85___1999__E__
Schott Solar ASE-100-ATF-17 (92) [1999 (E)],Schott_Solar_ASE_100_ATF_17__92___1999__E__
Schott Solar ASE-100-ATF-34 (100) [1999 (E)],Schott_Solar_ASE_100_ATF_34__100___1999__E__
Schott Solar ASE-100-ATF-34 (85) [1999 (E)],Schott_Solar_ASE_100_ATF_34__85___1999__E__
Schott Solar ASE-100-ATF-34 (92) [1999 (E)],Schott_Solar_ASE_100_ATF_34__92___1999__E__
Schott Solar ASE-250-DGF-50 (250) [2007 (E)],Schott_Solar_ASE_250_DGF_50__250___2007__E__
Schott Solar ASE-270-DGF-50 (260) [2007 (E)],Schott_Solar_ASE_270_DGF_50__260___2007__E__
Schott Solar ASE-270-DGF-50 (270) [2007 (E)],Schott_Solar_ASE_270_DGF_50__270___2007__E__
Schott Solar ASE-300-DGF-17 (265) [1999 (E)],Schott_Solar_ASE_300_DGF_17__265___1999__E__
Schott Solar ASE-300-DGF-17 (285) [1999 (E)],Schott_Solar_ASE_300_DGF_17__285___1999__E__
Schott Solar ASE-300-DGF-17 (300) [1999 (E)],Schott_Solar_ASE_300_DGF_17__300___1999__E__
Schott Solar ASE-300-DGF-50 [ 1995],Schott_Solar_ASE_300_DGF_50___1995_
Schott Solar ASE-300-DGF-50 (265) [1999 (E)],Schott_Solar_ASE_300_DGF_50__265___1999__E__
Schott Solar ASE-300-DGF-50 (280) [2007 (E)],Schott_Solar_ASE_300_DGF_50__280___2007__E__
Schott Solar ASE-300-DGF-50 (285) [1999 (E)],Schott_Solar_ASE_300_DGF_50__285___1999__E__
