date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1
2012-01-03 05:00:00,0.20017448,9.5744711,0.0,0.0,0.0,-0.0,0.0,0.20017447942798683,8.617023990743482,9.5744711,8.617024,0.0,0.0,0.0,0.0
2012-01-03 06:00:00,0.26520122,15.288678,0.0,0.0,0.0,-0.0,0.0,0.26520121900264726,13.759810192115586,15.288678,13.75981,0.0,0.0,0.0,0.0
2012-01-03 07:00:00,0.40928889,13.637907,0.0,0.0,0.0,-0.0,0.0,0.4092888869541797,12.274116400608088,13.637907,12.274116,0.0,0.0,0.0,0.0
2012-01-03 08:00:00,0.59787642,12.901409,0.0,0.0,0.0,-0.0,0.0,0.5978764204671733,11.611268401320128,12.901409,11.611268,0.0,0.0,0.0,0.0
2012-01-03 09:00:00,0.0,0.0,8.3826803,3.270278,3.270278,2.5624254,2.5624254,0.7078525191948247,11.062704539840439,0.0,0.0,2.5624254,8.5002791,11.062705,11.652958
2012-01-03 10:00:00,0.0,0.0,10.582559,3.2374122,3.2374122,2.4988942,2.4988942,0.738517970883643,10.788422609100593,0.0,0.0,2.4988942,8.2895284,10.788423,13.819971
2012-01-03 11:00:00,0.0,0.0,11.928838,3.092967,3.092967,2.3188891,2.3188891,0.7740779083468982,10.011290472004363,0.0,0.0,2.3188891,7.6924013,10.01129,15.021805
2012-01-03 12:00:00,0.0,0.0,11.857578,3.076832,3.076832,2.2447694,2.2447694,0.8320625816542567,9.691294886141211,0.0,0.0,2.2447694,7.4465255,9.6912949,14.93441
2012-01-03 13:00:00,0.0,0.0,10.435415,3.0622479,3.0622479,2.2341809,2.2341809,0.8280670830628797,9.645581231017903,0.0,0.0,2.2341809,7.4114004,9.6455812,13.497663
2012-01-03 14:00:00,0.0,0.0,7.8364657,2.9846846,2.9846846,2.2182981,2.2182981,0.7663865735584976,9.577010748332942,0.0,0.0,2.2182981,7.3587127,9.5770107,10.82115
2012-01-03 15:00:00,0.71819087,11.199846,0.0,0.0,0.0,-0.0,0.0,0.7181908718000126,10.079860954689325,11.199846,10.079861,0.0,0.0,0.0,0.0
2012-01-03 16:00:00,0.7227857,12.139515,0.0,0.0,0.0,-0.0,0.0,0.7227856951800962,10.925563574470516,12.139515,10.925564,0.0,0.0,0.0,0.0
2012-01-03 17:00:00,0.90143443,12.418876,0.0,0.0,0.0,-0.0,0.0,0.9014344259470396,11.176988677648707,12.418876,11.176989,0.0,0.0,0.0,0.0
2012-01-03 18:00:00,1.0458717,12.139515,0.0,0.0,0.0,-0.0,0.0,1.0458717000253175,10.925563574470516,12.139515,10.925564,0.0,0.0,0.0,0.0
2012-01-03 19:00:00,1.0494177,12.063326,0.0,0.0,0.0,-0.0,0.0,1.0494177050251645,10.856993091785554,12.063326,10.856993,0.0,0.0,0.0,0.0
2012-01-03 20:00:00,0.85883242,11.809361,0.0,0.0,0.0,-0.0,0.0,0.8588324222164825,10.628424816169016,11.809361,10.628425,0.0,0.0,0.0,0.0
2012-01-03 21:00:00,0.66969551,10.768105,0.0,0.0,0.0,-0.0,0.0,0.6696955076471746,9.691294886141211,10.768105,9.6912949,0.0,0.0,0.0,0.0
2012-01-03 22:00:00,0.61181072,8.5332156,0.0,0.0,0.0,-0.0,0.0,0.6118107218046005,7.679894060715675,8.5332156,7.6798941,0.0,0.0,0.0,0.0
2012-01-03 23:00:00,0.51896532,7.1872024,0.0,0.0,0.0,-0.0,0.0,0.5189653232874778,6.468482199948024,7.1872024,6.4684822,0.0,0.0,0.0,0.0
2012-01-04 00:00:00,0.2912219,1.8408485,0.0,0.0,0.0,-0.0,0.0,0.2912219035789898,1.6567636280807856,1.8408485,1.6567636,0.0,0.0,0.0,0.0
2012-01-04 01:00:00,0.21550721,1.9541315,0.0,0.0,0.0,-0.0,0.0,0.215507205272396,1.758718312885757,1.9541315,1.7587183,0.0,0.0,0.0,0.0
2012-01-04 02:00:00,0.19752746,2.0390937,0.0,0.0,0.0,-0.0,0.0,0.19752746161119958,1.8351843264894858,2.0390937,1.8351843,0.0,0.0,0.0,0.0
2012-01-04 03:00:00,0.19233331,2.3411817,0.0,0.0,0.0,-0.0,0.0,0.1923333134424095,2.1070634859694097,2.3411817,2.1070635,0.0,0.0,0.0,0.0
2012-01-04 04:00:00,0.19542982,3.0964015,0.0,0.0,0.0,-0.0,0.0,0.19542982485072669,2.7867613846692194,3.0964015,2.7867614,0.0,0.0,0.0,0.0
2012-01-04 05:00:00,0.23393644,4.5785206,0.0,0.0,0.0,-0.0,0.0,0.23393644252512233,4.120668510867596,4.5785206,4.1206685,0.0,0.0,0.0,0.0
2012-01-04 06:00:00,0.44994309,5.8529541,0.0,0.0,0.0,-0.0,0.0,0.4499430851214405,5.267658714923524,5.8529541,5.2676587,0.0,0.0,0.0,0.0
2012-01-04 07:00:00,0.64642173,5.4564637,0.0,0.0,0.0,-0.0,0.0,0.6464217283524036,4.910817318106123,5.4564637,4.9108173,0.0,0.0,0.0,0.0
2012-01-04 08:00:00,0.66674883,4.975011,0.0,0.0,0.0,-0.0,0.0,0.666748827436034,4.477509907684995,4.975011,4.4775099,0.0,0.0,0.0,0.0
2012-01-04 09:00:00,0.0,1.0458599,0.0,1.3538095,1.3538095,0.73840285,0.73840285,0.6154066705368397,4.129164734601343,1.0458599,0.94127389,0.73840285,2.449488,3.1878908,1.3538095
2012-01-04 10:00:00,0.0,0.0,0.39072792,1.4679452,1.4679452,0.88754914,0.88754914,0.580396114129899,3.8317969039201767,0.0,0.0,0.88754914,2.9442478,3.8317969,1.8586732
2012-01-04 11:00:00,0.0,0.0,0.5996106,1.4371563,1.4371563,0.84622201,0.84622201,0.5909342416646558,3.653376205511476,0.0,0.0,0.84622201,2.8071542,3.6533762,2.0367669
2012-01-04 12:00:00,0.0,0.0,0.48023298,1.4872288,1.4872288,0.83441426,0.83441426,0.6528145260986068,3.6023988631089905,0.0,0.0,0.83441426,2.7679846,3.6023989,1.9674618
2012-01-04 13:00:00,0.0,0.0,0.18495866,1.4772497,1.4772497,0.83047835,0.83047835,0.6467713344791491,3.5854064156414958,0.0,0.0,0.83047835,2.7549281,3.5854064,1.6622083
2012-01-04 14:00:00,0.0,1.5593553,0.0,1.1051243,1.1051243,0.52902339,0.52902339,0.5761009531441688,3.687361100446467,1.5593553,1.4034197,0.52902339,1.754918,2.2839414,1.1051243
2012-01-04 15:00:00,0.5235102,4.2764326,0.0,0.0,0.0,-0.0,0.0,0.5235102029351693,3.8487893513876714,4.2764326,3.8487894,0.0,0.0,0.0,0.0
2012-01-04 16:00:00,0.52545801,4.5218791,0.0,0.0,0.0,-0.0,0.0,0.5254580084984655,4.069691168465109,4.5218791,4.0696912,0.0,0.0,0.0,0.0
2012-01-04 17:00:00,0.642626,4.8145268,0.0,0.0,0.0,-0.0,0.0,0.6426260046905955,4.333074104211286,4.8145268,4.3330741,0.0,0.0,0.0,0.0
2012-01-04 18:00:00,0.83001489,4.93725,0.0,0.0,0.0,-0.0,0.0,0.830014888626176,4.443525012750005,4.93725,4.443525,0.0,0.0,0.0,0.0
2012-01-04 19:00:00,0.93434735,4.975011,0.0,0.0,0.0,-0.0,0.0,0.9343473455935075,4.477509907684995,4.975011,4.4775099,0.0,0.0,0.0,0.0
2012-01-04 20:00:00,0.84025335,4.748445,0.0,0.0,0.0,-0.0,0.0,0.8402533537665795,4.273600538075052,4.748445,4.2736005,0.0,0.0,0.0,0.0
2012-01-04 21:00:00,0.7040568,4.1348289,0.0,0.0,0.0,-0.0,0.0,0.7040567955330165,3.7213459953814567,4.1348289,3.721346,0.0,0.0,0.0,0.0
2012-01-04 22:00:00,0.58269353,2.8226343,0.0,0.0,0.0,-0.0,0.0,0.5826935258199407,2.540370896390538,2.8226343,2.5403709,0.0,0.0,0.0,0.0
