date,ID_electricity_bus_shortage_output1,ID_pellet_bus_shortage_output1,ID_pv_bus_excess_input1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_pelletheating_transformer_input1,ID_pelletheating_transformer_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_photovoltaic_electricity_source_output1
2012-01-02 19:00:00,0.88045806,2.4551329,0.0,0.8804580583423104,6.509776947480451,4.3001573,2.4551329,2.2096196,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 20:00:00,0.79969904,2.3530383,0.0,0.7996990430641032,6.239073351644629,4.1213389,2.3530383,2.1177344,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 21:00:00,0.67693735,2.0856476,0.0,0.6769373488440452,5.530087743503195,3.6530049,2.0856476,1.8770828,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 22:00:00,0.57315427,1.4925263,0.0,0.5731542729330282,3.957428758171284,2.614155,1.4925263,1.3432737,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 23:00:00,0.42272375,1.1911041,0.0,0.42272375096768483,3.158208618084575,2.0862149,1.1911041,1.0719937,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 00:00:00,0.33482278,2.4136977,0.0,0.3348227819573912,6.3999117172630635,4.2275838,2.4136977,2.172328,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 01:00:00,0.26405251,2.4050774,0.0,0.26405251315762635,6.3770548897014105,4.2124852,2.4050774,2.1645696,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 02:00:00,0.21026311,2.4654198,0.0,0.21026311337121373,6.537052682632987,4.3181748,2.4654198,2.2188778,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 03:00:00,0.19827662,2.5257623,0.0,0.1982766175970828,6.697050475564563,4.4238644,2.5257623,2.273186,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 04:00:00,0.19208359,2.6723082,0.0,0.19208359478044845,7.0856165441126775,4.6805392,2.6723082,2.4050774,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 05:00:00,0.20017448,3.2498716,0.0,0.20017447942798683,8.617023990743482,5.6921396,3.2498716,2.9248844,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 06:00:00,0.26520122,5.1894501,0.0,0.26520121900264726,13.759810192115586,9.0893051,5.1894501,4.6705051,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 07:00:00,0.40928889,4.6291274,0.0,0.4092888869541797,12.274116400608088,8.1079017,4.6291274,4.1662147,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 08:00:00,0.59787642,4.3791373,0.0,0.5978764204671733,11.611268401320128,7.6700448,4.3791373,3.9412236,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-03 09:00:00,0.0,0.0,10.075339,0.7078525191948247,11.062704539840439,7.3076805,-0.0,-0.0,2.8852576,0.86976644,3.755024,1.577619,1.577619,0.86976644,0.86976644,11.652958
2012-01-03 10:00:00,0.0,0.0,12.233251,0.738517970883643,10.788422609100593,7.1264983,-0.0,-0.0,2.8137223,0.84820198,3.6619243,1.58672,1.58672,0.84820198,0.84820198,13.819971
2012-01-03 11:00:00,0.0,0.0,13.460625,0.7740779083468982,10.011290472004363,6.6131489,-0.0,-0.0,2.6110389,0.78710269,3.3981416,1.5611806,1.5611806,0.78710269,0.78710269,15.021805
2012-01-03 12:00:00,0.0,0.0,13.340403,0.8320625816542567,9.691294886141211,6.4017697,-0.0,-0.0,2.527581,0.76194415,3.2895252,1.5940067,1.5940067,0.76194415,0.76194415,14.93441
2012-01-03 13:00:00,0.0,0.0,11.911246,0.8280670830628797,9.645581231017903,6.3715727,-0.0,-0.0,2.5156585,0.75835008,3.2740086,1.5864172,1.5864172,0.75835008,0.75835008,13.497663
