date,01_electricity_bus_shortage_output1,01_heat_bus_excess_input1,01_pellet_bus_shortage_output1,01_oil_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_oilheating_transformer_input1,01_oilheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-02 13:00:00,0.7939995,0.0,5.1407774,0.0,0.0,0.23612187,0.070126958,0.070126958,-0.0,0.0,0.8641264578500569,5.6461035702899744,0.0,0.0,5.1407774,4.6266997,0.23612187,0.78328202,1.0194039,0.070126958,0.0,0.0,0.0
2012-01-02 14:00:00,0.66875999,0.0,5.255361,0.0,0.0,0.23612187,0.011074091,0.011074091,-0.0,0.0,0.6798340853227937,5.749228749656002,0.0,0.0,5.255361,4.7298249,0.23612187,0.78328202,1.0194039,0.011074091,0.0,0.0,0.0
2012-01-02 15:00:00,0.58234392,0.0,5.4415592,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.5823439196931952,5.916807166125796,0.0,0.0,5.4415592,4.8974033,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.53289962,0.0,5.7709869,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.532899624624905,6.213292056803123,0.0,0.0,5.7709869,5.1938882,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.62779272,0.0,6.0431227,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.6277927161701085,6.458214357797436,0.0,0.0,6.0431227,5.4388105,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 18:00:00,0.78116992,0.0,6.1147375,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.7811699183465924,6.522667594901203,0.0,0.0,6.1147375,5.5032637,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 19:00:00,0.88045806,0.0,6.1004145,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.8804580583423104,6.509776947480451,0.0,0.0,6.1004145,5.4903731,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 20:00:00,0.79969904,0.0,5.7996327,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.7996990430641032,6.239073351644629,0.0,0.0,5.7996327,5.2196695,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 21:00:00,0.67693735,0.0,5.011871,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.6769373488440452,5.530087743503195,0.0,0.0,5.011871,4.5106839,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 22:00:00,0.57315427,0.0,3.2644721,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.5731542729330282,3.957428758171284,0.0,0.0,3.2644721,2.9380249,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 23:00:00,0.42272375,0.0,2.3764497,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.42272375096768483,3.158208618084575,0.0,0.0,2.3764497,2.1388047,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 00:00:00,0.33482278,0.0,5.978342,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.3348227819573912,6.3999117172630635,0.0,0.0,5.978342,5.3805078,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 01:00:00,0.26405251,0.0,5.9529456,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.26405251315762635,6.3770548897014105,0.0,0.0,5.9529456,5.357651,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 02:00:00,0.21026311,0.0,6.1307209,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.21026311337121373,6.537052682632987,0.0,0.0,6.1307209,5.5176488,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 03:00:00,0.19827662,0.0,6.3084962,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.1982766175970828,6.697050475564563,0.0,0.0,6.3084962,5.6776466,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 04:00:00,0.19208359,0.0,6.7402363,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.19208359478044845,7.0856165441126775,0.0,0.0,6.7402363,6.0662127,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 05:00:00,0.20017448,0.0,8.4418001,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.20017447942798683,8.617023990743482,0.0,0.0,8.4418001,7.5976201,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 06:00:00,0.26520122,0.0,10.067175,3.9999448,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.26520121900264726,13.759810192115586,3.9999448,3.6799492,10.067175,9.0604571,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-03 07:00:00,0.40928889,0.0,10.067175,2.3850603,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.4092888869541797,12.274116400608088,2.3850603,2.1942554,10.067175,9.0604571,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
