,dhi,dirhi,pressure,temp_air,v_wind,z0
07.01.2012 09:00,50,0,997164,8683333333,2748,15
07.01.2012 10:00,119,22,997547,89,289715,15
07.01.2012 11:00,76,1,998114,8766666667,311852,15
07.01.2012 12:00,55,0,998720,8066666667,338681,15
07.01.2012 13:00,47,0,999389,7783333333,344846,15
07.01.2012 14:00,49,0,1000280,7283333333,335454,15
07.01.2012 15:00,14,0,1001040,6333333333,32911,15
07.01.2012 16:00,0,0,1001620,65,324902,15
07.01.2012 17:00,0,0,1002170,615,333863,15
07.01.2012 18:00,0,0,1002740,625,352378,15
07.01.2012 19:00,0,0,1003300,6383333333,360297,15
07.01.2012 20:00,0,0,1003800,6033333333,353191,15
07.01.2012 21:00,0,0,1004340,6083333333,325355,15
07.01.2012 22:00,0,0,1004970,625,285047,15
07.01.2012 23:00,0,0,1005570,6366666667,227388,15
08.01.2012 00:00,0,0,1006170,6583333333,175136,15
08.01.2012 01:00,0,0,1006700,6583333333,120631,15
08.01.2012 02:00,0,0,1007450,6533333333,845946,15
08.01.2012 03:00,0,0,1007730,6583333333,170434,15
08.01.2012 04:00,0,0,1008190,65,19802,15
08.01.2012 05:00,0,0,1008460,5816666667,240716,15
08.01.2012 06:00,0,0,1008540,57,279641,15
08.01.2012 07:00,0,0,1008730,5883333333,304056,15
08.01.2012 08:00,8,0,1008620,6166666667,345218,15
08.01.2012 09:00,27,0,1008570,64,414499,15
08.01.2012 10:00,80,0,1008560,6883333333,45154,15
08.01.2012 11:00,113,0,1008490,715,50034,15
08.01.2012 12:00,72,0,1008290,6916666667,576208,15
08.01.2012 13:00,83,0,1008020,6666666667,630171,15
08.01.2012 14:00,41,0,1007940,6783333333,655537,15
08.01.2012 15:00,12,0,1007690,6633333333,633082,15
08.01.2012 16:00,0,0,1007270,5866666667,613089,15
08.01.2012 17:00,0,0,1006820,57,642829,15
08.01.2012 18:00,0,0,1006390,56,6443,15
08.01.2012 19:00,0,0,1005930,565,653751,15
08.01.2012 20:00,0,0,1005600,5566666667,658345,15
08.01.2012 21:00,0,0,1005240,5466666667,686387,15
08.01.2012 22:00,0,0,1004570,5733333333,725291,15
08.01.2012 23:00,0,0,1004030,5716666667,754074,15
09.01.2012 00:00,0,0,1003600,5766666667,794066,15
09.01.2012 01:00,0,0,1003220,5516666667,819224,15
09.01.2012 02:00,0,0,1002900,51,83721,15
09.01.2012 03:00,0,0,1002290,5033333333,858747,15
09.01.2012 04:00,0,0,1001750,5266666667,894711,15
09.01.2012 05:00,0,0,1001400,5516666667,947753,15
09.01.2012 06:00,0,0,1001200,5866666667,958088,15
09.01.2012 07:00,0,0,1000770,6116666667,927084,15
09.01.2012 08:00,0,0,1000070,6683333333,902852,15
09.01.2012 09:00,19,0,999744,7216666667,88981,15
09.01.2012 10:00,47,0,999390,765,871281,15
09.01.2012 11:00,46,0,998852,8083333333,854576,15
09.01.2012 12:00,49,0,998258,8433333333,841137,15
09.01.2012 13:00,47,0,997941,8433333333,8076,15
09.01.2012 14:00,54,0,997679,8583333333,780628,15
09.01.2012 15:00,1,0,997120,8466666667,774941,15
09.01.2012 16:00,0,0,996801,85,766995,15
09.01.2012 17:00,0,0,996649,8533333333,749605,15
09.01.2012 18:00,0,0,996653,845,710213,15
09.01.2012 19:00,0,0,996533,8,682776,15
09.01.2012 20:00,0,0,996222,7983333333,658403,15
09.01.2012 21:00,0,0,996006,8183333333,630489,15
09.01.2012 22:00,0,0,995949,8333333333,596267,15
09.01.2012 23:00,0,0,996052,8316666667,560579,15
10.01.2012 00:00,0,0,996219,8083333333,5327,15
10.01.2012 01:00,0,0,996448,785,517828,15
10.01.2012 02:00,0,0,996683,74,503502,15
10.01.2012 03:00,0,0,996857,675,480961,15
10.01.2012 04:00,0,0,996955,6433333333,465143,15
10.01.2012 05:00,0,0,997068,5016666667,453305,15
10.01.2012 06:00,0,0,997299,2766666667,42398,15
10.01.2012 07:00,0,0,997585,5016666667,394868,15
10.01.2012 08:00,12,0,997965,5916666667,370013,15
10.01.2012 09:00,72,0,998345,6466666667,359344,15
10.01.2012 10:00,112,41,998529,7,360151,15
10.01.2012 11:00,128,167,998814,8533333333,348605,15
10.01.2012 12:00,149,75,999299,9216666667,3214,15
10.01.2012 13:00,96,18,999817,91,262054,15
10.01.2012 14:00,44,0,1000300,8833333333,214394,15
10.01.2012 15:00,7,0,1000770,8133333333,185801,15
10.01.2012 16:00,0,0,1001110,8183333333,165442,15
10.01.2012 17:00,0,0,1001340,815,15025,15
10.01.2012 18:00,0,0,1001540,83,141785,15
10.01.2012 19:00,0,0,1001710,83,135012,15
10.01.2012 20:00,0,0,1001810,815,128467,15
10.01.2012 21:00,0,0,1001820,81,138391,15
10.01.2012 22:00,0,0,1001890,8183333333,151474,15
10.01.2012 23:00,0,0,1002070,7883333333,157934,15
