date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-02 00:00:00,0.23297752,0.7654164,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.23297752286319187,1.9768839373250944,0.0,0.0,0.23939578,1.9768839,1.9768839,0.0,0.0,0.0,0.0,0.7654164,0.68887476,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.17240576,0.90058795,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.1724057642179168,2.098538333468177,0.0,0.0,0.23939578,2.0985383,2.0985383,0.0,0.0,0.0,0.0,0.90058795,0.81052916,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.15802197,1.0019666,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.15802196928895967,2.1897791305754897,0.0,0.0,0.23939578,2.1897791,2.1897791,0.0,0.0,0.0,0.0,1.0019666,0.90176995,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.15386665,1.3624241,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.1538666507539276,2.5141908536237096,0.0,0.0,0.23939578,2.5141909,2.5141909,0.0,0.0,0.0,0.0,1.3624241,1.2261817,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.15634386,2.2635678,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.15634385988058136,3.3252201612442613,0.0,0.0,0.23939578,3.3252202,3.3252202,0.0,0.0,0.0,0.0,2.2635678,2.037211,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.18714915,4.0320622,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.18714915402009788,4.916865177449594,0.0,0.0,0.23939578,4.9168652,4.9168652,0.0,0.0,0.0,0.0,4.0320622,3.628856,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.80366085,5.0597351,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.3599544680971524,6.285477134059275,0.0,0.0,0.23939578,6.2854771,6.2854771,0.0,0.0,0.44370639,0.44370639,5.0597351,4.5537616,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.51821234,5.0597351,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.5171373826819229,5.859686747558484,0.0,0.0,0.23939578,5.8417707,5.8417707,0.017916,0.017916,0.0,0.0,5.0597351,4.5537616,0.29833821,0.98967097,1.2880092,0.0,0.00107496,0.018858947,0.017916
2012-01-02 08:00:00,0.54044052,4.3747653,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.5333990619488272,5.342655563950383,0.0,0.0,0.23939578,5.2252979,5.2252979,0.11735763,0.11735763,0.0,0.0,4.3747653,3.9372888,0.29833821,0.98967097,1.2880092,0.0,0.007041458,0.12353435,0.11735763
2012-01-02 09:00:00,0.0,3.7662604,0.0,0.010506619,0.7951185,0.7951185,0.28783159,0.28783159,0.4923253364294718,4.92700304379485,0.0,0.0,0.23939578,4.6776435,4.6776435,0.24935955,0.24935955,0.0,0.0,3.7662604,3.3896343,0.29833821,0.98967097,1.2880092,0.7951185,0.014961573,0.26248374,0.24935955
2012-01-02 10:00:00,0.0,2.8254841,0.059118657,0.0,1.2242131,1.2242131,0.29833821,0.29833821,0.4643168913039192,4.572177721710859,0.0,0.0,0.23939578,4.2746513,4.2746513,0.29752645,0.29752645,0.44370639,0.44370639,2.8254841,2.5429357,0.29833821,0.98967097,1.2880092,1.2833317,0.017851587,0.31318574,0.29752645
2012-01-02 11:00:00,0.0,2.5874796,0.0,0.0,1.2260739,1.2260739,0.29833821,0.29833821,0.47274739333172466,4.359282528460464,0.0,0.0,0.23939578,4.0533746,4.0533746,0.30590794,0.30590794,0.43663381,0.43663381,2.5874796,2.3287316,0.29833821,0.98967097,1.2880092,1.2260739,0.018354476,0.32200835,0.30590794
2012-01-02 12:00:00,0.0,3.0425538,0.0,0.29833821,0.53858048,0.53858048,-0.0,0.0,0.5222516208788854,4.298455330388924,0.0,0.0,0.23939578,4.0263076,4.0263076,0.27214772,0.27214772,0.0,0.0,3.0425538,2.7382984,0.29833821,0.98967097,1.2880092,0.53858048,0.016328863,0.28647128,0.27214772
2012-01-02 13:00:00,0.35179432,3.2392721,0.0,0.29833821,0.17011228,0.17011228,-0.0,0.0,0.5174170675833193,4.27817959769841,0.0,0.0,0.23939578,4.203354,4.203354,0.074825548,0.074825548,0.0,0.0,3.2392721,2.9153449,0.29833821,0.98967097,1.2880092,0.17011228,0.0044895329,0.078763735,0.074825548
2012-01-02 14:00:00,0.34225093,3.4575831,0.0,0.29833821,0.11862984,0.11862984,-0.0,0.0,0.460880762515335,4.399833993841492,0.0,0.0,0.23939578,4.399834,4.399834,0.0,0.0,0.0,0.0,3.4575831,3.1118248,0.29833821,0.98967097,1.2880092,0.11862984,0.0,0.0,0.0
2012-01-02 15:00:00,0.41880816,3.6716048,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.4188081623481354,4.592453454401373,0.0,0.0,0.23939578,4.5924535,4.5924535,0.0,0.0,0.0,0.0,3.6716048,3.3044443,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.42036641,3.9644764,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.4203664067987724,4.856037979378052,0.0,0.0,0.23939578,4.856038,4.856038,0.0,0.0,0.0,0.0,3.9644764,3.5680288,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.5141008,4.3136696,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.5141008037524765,5.170311836081016,0.0,0.0,0.23939578,5.1703118,5.1703118,0.0,0.0,0.0,0.0,4.3136696,3.8823027,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-02 18:00:00,0.66401191,4.4601055,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.6640119109009408,5.302104098569355,0.0,0.0,0.23939578,5.3021041,5.3021041,0.0,0.0,0.0,0.0,4.4601055,4.0140949,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
